apy	1184253
fpt	539329
colw	1816219
cke	225992
mmes	908290
mhao	1311760
rhe	1032845
vfl	676
dko	1300342
paur	1883414
rhz	674703
nmn	374833
NEIM0	374833
mgry	431944
cri	667013
fpj	28110
trb	943830
eoi	585396
crp	387662
CARRP	387662
phr	1868589
thio	1803865
gni	1085623
maes	1921086
drt	485915
rce	414684
RHOCE	414684
tcn	1463158
ler	2681309
ccro	52
aua	1349819
agc	1842536
opo	82983
rrj	452659
RICRO	452659
spl	398579
SHEPA	398579
spq	1016998
SALPB	1016998
ebl	469008
slm	1904944
pct	561230
PECCC	561230
vaf	1074311
aeh	187272
ALHEH	187272
bsan	1249553
smeg	1235461
hat	1579316
xne	406817
echw	1249656
elf	591946
buz	1417228
fes	2724191
bpa	257311
BORPA	257311
plr	1239881
sbt	693973
rbt	1528098
sphf	2219696
lcj	28084
hyo	2231112
pde	318586
PARDP	318586
gag	983545
btr	382640
BART1	382640
send	85569
bvi	269482
BURVG	269482
sex	1132507
psed	2213057
vaa	1795631
lal	1526571
esz	2044467
bsb	633149
pvd	33069
cnc	1042878
kko	523791
splk	1390395
mety	2487150
elg	299767
senb	1320309
mum	864828
eaa	86106
ror	1286170
apai	1080223
rbn	987059
xbo	406818
oin	94625
rmo	1105114
boh	1697043
mmn	696127
kpx	573
sutk	2584944
rpln	575
seny	1929246
rpus	648995
banc	1318743
vow	696485
tmz	85643
nsi	488
mtw	595536
eclc	1333849
alan	1355374
rpod	1852022
sej	990282
cup	367825
idi	2055892
sbf	2493639
bxe	266265
BURXL	266265
ahh	644
miu	1658665
acaa	1912871
fhi	1088883
aak	83263
bul	1468409
csk	1138308
pput	1331671
cid	1208324
srs	768490
bug	640510
reu	264198
RALEJ	264198
ecr	585034
ECO8A	585034
bvy	1325724
mko	702114
seep	1298917
jag	1349767
cate	2172099
dic	568768
eoh	585395
seec	1271863
pws	1175631
pht	1867719
pmot	1435058
kpg	72407
oai	698738
hdi	1482074
rei	1301032
plz	43657
pre	1245471
hvn	44935
kpnu	573
yph	547048
YERPH	547048
asr	652
tho	1705394
kpne	573
cber	1967665
blas	1842535
izh	2579935
rbd	2010829
bvc	41276
nwe	28091
kvd	244366
maq	351348
MARAV	351348
kga	1208921
aper	1076596
nani	326522
frt	573569
ebc	1920109
upv	401471
afri	1085644
bbro	463025
tzo	2675053
tat	1091495
ypi	349747
YERP3	349747
pin	357804
PSYIN	357804
hil	935897
cfp	1507806
baus	1094489
acio	2478662
malu	561184
ple	1206109
acid	553814
aaqu	323284
lib	454
vco	345073
VIBC3	345073
pmu	272843
PASMU	272843
crx	203
slac	2715678
mann	2679994
pmp	1075089
sgl	343509
SODGM	343509
eld	885276
mets	2202825
ery	1648404
xho	351679
paet	749
brb	55213
pseo	1348114
hps	512562
HELPS	512562
rip	515618
psi	1157951
hpyg	1382925
dfn	1778540
pseb	2500533
lpop	1172565
azt	664962
seo	588858
upi	2495591
roy	2267833
mci	765698
sdf	465721
shm	60481
SHESR	60481
lcp	435897
mos	34062
abj	1096995
tau	595494
TOLAT	595494
sfd	1185652
ecz	585035
ECO45	585035
moc	1882682
kpj	1380908
pdj	621376
ypk	187410
YERPE	187410
brj	1149952
lap	1674922
hfr	92645
hia	1295140
etc	1288122
oan	439375
OCHA4	439375
sbg	218493
clr	1453989
ssn	300269
SHISS	300269
bup	713602
acib	255507
ntn	661191
yep	994476
splm	1938607
ato	104102
lug	1176533
bpsa	1249477
xax	981368
halk	272774
ell	566546
pmy	399739
PSEMY	399739
dvn	111831
baw	713600
kpo	1049565
pvac	37448
psp	264730
PSE14	264730
sfo	1441930
hcd	573658
sent	527001
aat	668336
slt	580332
amon	1926868
aha	380703
AERHH	380703
rbl	1075
put	1007105
hpyj	1382927
rel	1328306
metg	2742204
saes	1028752
zmc	627343
bals	52764
hyb	795665
dar	159087
DECAR	159087
eme	1495769
rfe	315456
RICFE	315456
nhm	1286528
pbra	180957
sami	135719
ypj	632
rps	1105095
senh	1271864
ocd	2587163
ddc	590409
xyk	2697032
kba	153496
asz	446692
nmj	488
aro	359
babb	235
nmx	487
swf	2558361
dps	177439
DESPS	177439
par	259536
PSYA2	259536
mnr	1678028
ssz	568817
thk	2005884
